geoid,name,total_households,with_internet_subscription,with_broadband_subscription,without_internet_subscription,no_internet_access,pct_rural_2010
1001,"Autauga County, Alabama",21054,16201,16131,467,4386,42
1003,"Baldwin County, Alabama",76133,57362,56741,3955,14816,42.3
1005,"Barbour County, Alabama",9191,5390,5258,423,3378,67.8
1007,"Bibb County, Alabama",6916,4307,4286,248,2361,68.4
1009,"Blount County, Alabama",20690,13881,13606,619,6190,90
1011,"Bullock County, Alabama",3670,1850,1814,314,1506,51.4
1013,"Butler County, Alabama",7050,4202,4102,277,2571,71.2
1015,"Calhoun County, Alabama",45099,32256,32009,2199,10644,33.7
1017,"Chambers County, Alabama",13694,8689,8601,411,4594,49.1
1019,"Cherokee County, Alabama",10795,7346,7286,561,2888,85.7
1021,"Chilton County, Alabama",16768,9659,9488,1052,6057,86.7
1023,"Choctaw County, Alabama",5463,2916,2858,321,2226,100
1025,"Clarke County, Alabama",9602,4637,4544,367,4598,76
1027,"Clay County, Alabama",5338,3538,3522,201,1599,100
1029,"Cleburne County, Alabama",5773,3399,3337,274,2100,100
1031,"Coffee County, Alabama",19620,14908,14779,641,4071,47.2
1033,"Colbert County, Alabama",21983,14663,14491,1153,6167,43.9
1035,"Conecuh County, Alabama",4716,1947,1920,144,2625,80.9
1037,"Coosa County, Alabama",4204,2478,2446,176,1550,100
1039,"Covington County, Alabama",15285,10025,9896,414,4846,69.7
1041,"Crenshaw County, Alabama",5358,3086,3060,220,2052,100
1043,"Cullman County, Alabama",31097,20682,20270,1374,9041,73.2
1045,"Dale County, Alabama",18825,13290,13134,863,4672,50.9
1047,"Dallas County, Alabama",16487,9652,9508,667,6168,45.6
1049,"DeKalb County, Alabama",25482,15743,15552,1310,8429,90.1
1051,"Elmore County, Alabama",29115,22892,22763,1016,5207,54.2
1053,"Escambia County, Alabama",13226,7383,7260,312,5531,63.5
1055,"Etowah County, Alabama",39061,26980,26731,2168,9913,37.5
1057,"Fayette County, Alabama",6955,4470,4455,138,2347,80.2
1059,"Franklin County, Alabama",11533,7080,6950,340,4113,70.4
1061,"Geneva County, Alabama",10693,7078,6871,511,3104,89.6
1063,"Greene County, Alabama",3025,1310,1269,59,1656,100
1065,"Hale County, Alabama",5664,2896,2870,223,2545,89.2
1067,"Henry County, Alabama",6727,4703,4592,172,1852,87.8
1069,"Houston County, Alabama",39560,27397,26732,1131,11032,33.8
1071,"Jackson County, Alabama",20368,12909,12763,999,6460,77
1073,"Jefferson County, Alabama",261390,191892,190864,12106,57392,9.8
1075,"Lamar County, Alabama",6019,3575,3510,134,2310,100
1077,"Lauderdale County, Alabama",38634,25640,25276,2111,10883,49.3
1079,"Lawrence County, Alabama",13056,7502,7271,994,4560,91.3
1081,"Lee County, Alabama",59001,46327,46125,2603,10071,27.4
1083,"Limestone County, Alabama",32386,23708,23494,1632,7046,57.6
1085,"Lowndes County, Alabama",4309,2096,2031,142,2071,100
1087,"Macon County, Alabama",7852,4176,4096,589,3087,55.5
1089,"Madison County, Alabama",142253,116299,115701,4298,21656,16.4
1091,"Marengo County, Alabama",7975,4207,4083,549,3219,69.3
1093,"Marion County, Alabama",12453,8251,8198,410,3792,88.9
1095,"Marshall County, Alabama",34588,24438,24283,1217,8933,53.3
1097,"Mobile County, Alabama",153794,107520,106791,5529,40745,20
1099,"Monroe County, Alabama",8207,3251,3196,339,4617,79
1101,"Montgomery County, Alabama",89776,68111,67827,3086,18579,10.5
1103,"Morgan County, Alabama",45904,32687,32189,1902,11315,38.6
1105,"Perry County, Alabama",3039,1248,1210,61,1730,100
1107,"Pickens County, Alabama",7620,4727,4643,205,2688,100
1109,"Pike County, Alabama",12284,7640,7392,399,4245,51.7
1111,"Randolph County, Alabama",8867,5915,5742,256,2696,81.3
1113,"Russell County, Alabama",22690,14509,14300,1306,6875,35.4
1115,"St. Clair County, Alabama",32486,23791,23493,1966,6729,72.8
1117,"Shelby County, Alabama",76868,65267,64980,2609,8992,22.9
1119,"Sumter County, Alabama",5073,2621,2559,119,2333,100
1121,"Talladega County, Alabama",31651,21000,20746,1289,9362,55.8
1123,"Tallapoosa County, Alabama",16369,11171,11109,487,4711,74.2
1125,"Tuscaloosa County, Alabama",71507,54296,54133,2789,14422,25.5
1127,"Walker County, Alabama",25143,15979,15725,1314,7850,74.1
1129,"Washington County, Alabama",6001,3248,3210,504,2249,100
1131,"Wilcox County, Alabama",3841,1750,1599,194,1897,100
1133,"Winston County, Alabama",9439,5447,5307,577,3415,84.9
2013,"Aleutians East Borough, Alaska",812,554,554,27,231,100
2016,"Aleutians West Census Area, Alaska",1218,906,902,58,254,100
2020,"Anchorage Municipality, Alaska",106012,93104,92681,2948,9960,4.1
2050,"Bethel Census Area, Alaska",4524,3193,3192,71,1260,73.9
2060,"Bristol Bay Borough, Alaska",358,298,291,5,55,100
2068,"Denali Borough, Alaska",678,608,608,17,53,100
2070,"Dillingham Census Area, Alaska",1405,1016,1014,21,368,100
2090,"Fairbanks North Star Borough, Alaska",36396,30090,29859,1255,5051,30.9
2100,"Haines Borough, Alaska",1087,858,839,94,135,100
2105,"Hoonah-Angoon Census Area, Alaska",802,580,578,20,202,100
2110,"Juneau City and Borough, Alaska",12273,10855,10775,376,1042,21.5
2122,"Kenai Peninsula Borough, Alaska",21779,16842,16505,958,3979,79.3
2130,"Ketchikan Gateway Borough, Alaska",5270,4335,4309,235,700,23.2
2150,"Kodiak Island Borough, Alaska",4538,3745,3740,118,675,31.3
2158,"Kusilvak Census Area, Alaska",1752,1023,1023,20,709,100
2164,"Lake and Peninsula Borough, Alaska",408,247,246,11,150,100
2170,"Matanuska-Susitna Borough, Alaska",30613,26266,26071,794,3553,50.3
2180,"Nome Census Area, Alaska",2897,1960,1958,135,802,66.1
2185,"North Slope Borough, Alaska",2041,1395,1385,83,563,59.3
2188,"Northwest Arctic Borough, Alaska",1849,1236,1236,57,556,57.5
2195,"Petersburg Borough, Alaska",1255,957,953,46,252,100
2198,"Prince of Wales-Hyder Census Area, Alaska",2315,1578,1573,117,620,100
2220,"Sitka City and Borough, Alaska",3545,2867,2850,191,487,20.9
2230,"Skagway Municipality, Alaska",423,357,356,32,34,100
2240,"Southeast Fairbanks Census Area, Alaska",2139,1614,1603,61,464,100
2261,"Valdez-Cordova Census Area, Alaska",2849,2342,2294,89,418,100
2275,"Wrangell City and Borough, Alaska",1084,817,807,36,231,100
2282,"Yakutat City and Borough, Alaska",255,181,178,1,73,100
2290,"Yukon-Koyukuk Census Area, Alaska",1959,860,856,64,1035,100
4001,"Apache County, Arizona",19530,7730,7529,426,11374,74.1
4003,"Cochise County, Arizona",49160,37762,37459,1734,9664,36.3
4005,"Coconino County, Arizona",47588,36125,35824,2411,9052,31.5
4007,"Gila County, Arizona",21585,13442,13287,1352,6791,41.1
4009,"Graham County, Arizona",10976,7689,7658,507,2780,46.4
4011,"Greenlee County, Arizona",3364,2547,2547,93,724,46.6
4012,"La Paz County, Arizona",8798,5167,5074,665,2966,56.3
4013,"Maricopa County, Arizona",1489533,1223475,1216868,49976,216082,2.4
4015,"Mohave County, Arizona",83902,64470,63709,2237,17195,23
4017,"Navajo County, Arizona",34251,20679,20382,1050,12522,54.1
4019,"Pima County, Arizona",398530,323502,321077,15599,59429,7.5
4021,"Pinal County, Arizona",133513,103914,103201,5582,24017,21.9
4023,"Santa Cruz County, Arizona",15568,10742,10617,500,4326,26.9
4025,"Yavapai County, Arizona",94343,74544,73790,3583,16216,33.2
4027,"Yuma County, Arizona",71670,52998,52423,1946,16726,10.4
5001,"Arkansas County, Arkansas",7692,4668,4623,560,2464,34.7
5003,"Ashley County, Arkansas",8182,4907,4857,457,2818,51.7
5005,"Baxter County, Arkansas",18398,12938,12637,1103,4357,65.8
5007,"Benton County, Arkansas",90906,54534,54162,20582,15790,25.2
5009,"Boone County, Arkansas",14887,11169,11035,422,3296,62.2
5011,"Bradley County, Arkansas",4566,2568,2532,254,1744,49.6
5013,"Calhoun County, Arkansas",2061,1149,1098,142,770,100
5015,"Carroll County, Arkansas",10832,6988,6797,788,3056,72.8
5017,"Chicot County, Arkansas",4323,2472,2432,98,1753,54.3
5019,"Clark County, Arkansas",8820,5455,5420,565,2800,54.4
5021,"Clay County, Arkansas",6428,3856,3833,386,2186,58.9
5023,"Cleburne County, Arkansas",10646,7296,7210,305,3045,75.5
5025,"Cleveland County, Arkansas",3292,1800,1741,167,1325,100
5027,"Columbia County, Arkansas",9337,5532,5459,669,3136,57.5
5029,"Conway County, Arkansas",8185,4519,4428,427,3239,70.5
5031,"Craighead County, Arkansas",39838,31030,30955,1933,6875,32.2
5033,"Crawford County, Arkansas",23870,16521,16242,952,6397,52
5035,"Crittenden County, Arkansas",18659,12552,12483,615,5492,20.9
5037,"Cross County, Arkansas",6726,4214,4183,220,2292,56.8
5039,"Dallas County, Arkansas",3144,1689,1668,242,1213,52.6
5041,"Desha County, Arkansas",5230,2470,2409,171,2589,31.4
5043,"Drew County, Arkansas",7038,4548,4454,462,2028,48.6
5045,"Faulkner County, Arkansas",43835,32981,32638,2708,8146,38.8
5047,"Franklin County, Arkansas",6862,3759,3645,357,2746,82.6
5049,"Fulton County, Arkansas",5117,3096,3093,549,1472,92.9
5051,"Garland County, Arkansas",40062,29454,29066,1713,8895,36.9
5053,"Grant County, Arkansas",6851,4763,4706,442,1646,75
5055,"Greene County, Arkansas",16821,12183,12118,890,3748,41.5
5057,"Hempstead County, Arkansas",7930,4910,4840,260,2760,55.8
5059,"Hot Spring County, Arkansas",12291,7871,7663,984,3436,66
5061,"Howard County, Arkansas",5042,3095,3064,278,1669,67.5
5063,"Independence County, Arkansas",14288,9247,9028,899,4142,68.6
5065,"Izard County, Arkansas",5189,3060,2988,567,1562,100
5067,"Jackson County, Arkansas",6179,3576,3537,265,2338,65.1
5069,"Jefferson County, Arkansas",27377,14929,14721,1437,11011,30.9
5071,"Johnson County, Arkansas",9900,5976,5886,405,3519,71.4
5073,"Lafayette County, Arkansas",2860,1493,1439,72,1295,100
5075,"Lawrence County, Arkansas",6584,3976,3928,419,2189,63.6
5077,"Lee County, Arkansas",3541,1645,1604,146,1750,63.5
5079,"Lincoln County, Arkansas",3928,2245,2205,186,1497,100
5081,"Little River County, Arkansas",5300,3369,3253,220,1711,68.5
5083,"Logan County, Arkansas",8269,5551,5465,285,2433,71
